,ncratio,nspeed
917,-0.3318118265294309,-0.8868989904023642
925,-0.3436098412790814,-0.8607729296247334
929,-0.35278607497325404,-0.8868989904023642
933,-0.3521306297093845,-0.8372594749248656
937,-0.3521306297093845,-0.9025746268689427
938,-0.24365443853898705,-0.19455837979514715
941,-0.35508013339679717,-0.8059082019917087
942,-0.2826534317392206,-0.42708032071606156
945,-0.3560633012926014,-0.7014039588811853
946,-0.2964177822804795,-0.5472602002931634
949,-0.35639102392453614,-0.6439266251703974
950,-0.30329995755110895,-0.6413140190926344
953,-0.35639102392453614,-0.6073501400817143
954,-0.3118207459814121,-0.6961787467256592
957,-0.35639102392453614,-0.7379804439698685
958,-0.29150194280145847,-0.5289719577488218
961,-0.30985441018980364,-0.6961787467256592
962,0.27283642939015634,2.013093755914658
965,-0.29281283332919744,-0.5498728063709265
966,0.14174737661626205,1.725707087360719
969,-0.30985441018980364,-0.659602261636976
970,0.1089751134227885,1.8302113304712424
973,-0.3187029212520415,-0.7588812925919731
974,-0.09519608627255177,0.8348084148435077
977,-0.3272237096823446,-0.8241964445360502
981,-0.32787915494621417,-0.8346468688471026
985,-0.32787915494621417,-0.8137460202249979
989,-0.3422989507513425,-0.8633855357024964
993,-0.3508197391816456,-0.8895115964801273
994,-0.2554524532886375,-0.22852225880606725
997,-0.3521306297093845,-0.8712233539357858
998,-0.26561185487861433,-0.3617651687719845
1001,-0.3518029070774498,-0.9417637180353889
1002,-0.23349503694901025,-0.09266674276238691
1005,-0.3560633012926014,-0.7902325655251301
1006,-0.2869138259543722,-0.502845896971191
1009,-0.3554078560287319,-0.8059082019917087
1010,-0.2898633296417848,-0.5394223820598741
1013,-0.35639102392453614,-0.6857283224146068
1014,-0.31837519862010677,-0.8059082019917087
1017,-0.35639102392453614,-0.6178005643927666
1018,-0.3154256949326942,-0.7536560804364469
1021,-0.35639102392453614,-0.7066291710367114
1022,-0.300678176495631,-0.630863594781582
1025,-0.31968608914784574,-0.7797821412140777
1026,-0.09683469943222547,0.8609344756211385
1029,-0.3226355928352584,-0.6987913528034222
1030,-0.1695891237217368,0.4220166545569405
1033,-0.32198014757138893,-0.6099627461594774
1037,-0.31968608914784574,-0.659602261636976
1038,-0.1872861458462125,0.36453932084615265
1041,-0.34721479023036356,-0.8659981417802596
1042,-0.17679902162430097,0.36453932084615265
1045,-0.3560633012926014,-0.7379804439698685
1046,-0.3226355928352584,-0.8006829898361825
1049,-0.3547524107648624,-0.7562686865142101
1050,-0.3075603517662605,-0.6543770494814498
1053,-0.34918112602197193,-0.9208628694132843
